YEAR,SEASON,TAVG_C
2006,Autumn,-0.29890109890109895
2006,Spring,-1.1271739130434784
2006,Summer,14.225
2006,Winter,-10.092222222222222
2007,Autumn,1.2846153846153847
2007,Spring,0.9597826086956521
2007,Summer,13.064835164835166
2007,Winter,-11.818888888888889
2008,Autumn,-0.09651162790697673
2008,Spring,-1.8543478260869564
2008,Summer,11.444565217391306
2008,Winter,-7.489010989010989
2009,Autumn,1.201098901098901
2009,Spring,-0.22826086956521735
2009,Summer,12.90108695652174
2009,Winter,-11.894444444444444
2010,Autumn,-0.820879120879121
2010,Spring,-0.3706521739130434
2010,Summer,12.718478260869563
2010,Winter,-15.716666666666667
2011,Autumn,3.191208791208791
2011,Spring,1.0021739130434784
2011,Summer,14.465217391304348
2011,Winter,-11.764444444444443
2012,Autumn,0.8824175824175824
2012,Spring,-0.5163043478260869
2012,Summer,12.23913043478261
2012,Winter,-14.228571428571428
2013,Autumn,1.1131868131868132
2013,Spring,-1.5630434782608693
2013,Summer,14.27282608695652
2013,Winter,-9.69111111111111
2014,Autumn,0.2516483516483517
2014,Spring,0.41413043478260864
2014,Summer,14.267391304347825
2014,Winter,-9.27888888888889
2015,Autumn,2.534065934065934
2015,Spring,1.8464788732394366
2015,Summer,11.94891304347826
2015,Winter,-9.898888888888889
2016,Autumn,1.353846153846154
2016,Spring,2.0293478260869566
2016,Summer,13.655434782608696
2016,Winter,-11.193406593406594
2017,Autumn,0.6967032967032968
2017,Spring,-1.8184782608695653
2017,Summer,12.421739130434782
2017,Winter,-10.113333333333333
2018,Autumn,2.3650602409638557
2018,Spring,0.004347826086956468
2018,Summer,14.930434782608694
2018,Winter,-11.557777777777778
2019,Autumn,-1.254945054945055
2019,Spring,-0.06956521739130435
2019,Summer,12.701086956521738
2019,Winter,-11.395555555555555
2020,Autumn,7.716216216216216
2020,Spring,-0.8271739130434782
2020,Summer,14.437362637362638
2020,Winter,-9.195
